area,group,special
2009,864.0,421
2009,861.0,421
2009,867.0,421
2009,864.0,421
2009,861.0,421
2009,867.0,421
2009,864.0,421
2009,857.97,421
2009,867.0,421
2009,864.0,421
2009,859.5,421
2009,862.48,421
2009,860.94,421
2009,867.0,421
2009,864.0,421
2009,862.48,421
2009,867.0,421
2009,859.5,421
2009,864.0,421
2009,867.0,421
2009,870.0,421
2009,862.48,421
2009,862.48,421
2009,862.48,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,867.0,421
2009,865.51,421
2009,872.25,421
2009,867.0,421
2009,869.24,421
2009,865.51,421
2009,868.51,421
2009,870.0,421
2009,873.04,421
2009,865.51,421
2009,864.0,421
2009,862.48,421
2009,861.0,421
2009,870.0,421
2009,865.51,421
2009,867.75,421
2009,867.0,421
2009,863.99,421
2009,862.48,421
2009,864.0,421
2009,865.47,421
2009,863.99,421
2009,859.5,421
2009,1029.84,421
2009,1013.25,421
2009,1018.5,421
2009,998.17,421
2009,1025.31,421
2009,1043.41,421
2009,1060.94,421
2009,1194.19,421
2009,870.0,421
2009,870.0,421
2009,868.51,421
2009,867.0,421
2009,864.76,421
2009,862.48,421
2009,859.5,421
2009,862.48,421
2009,1011.75,421
2009,1010.23,421
2009,1339.49,421
2009,1156.5,421
2009,1341.0,421
2009,1012.87,421
2009,1347.98,421
2009,870.0,421
2009,867.0,421
2009,1338.0,421
2009,1005.0,421
2009,863.99,421
2009,1057.51,421
2009,1337.0,421
2009,865.47,421
2009,867.75,421
2009,963.0,421
2009,957.98,421
2009,1338.0,421
2009,860.21,421
2009,862.48,421
2009,1324.06,421
2009,864.0,421
2009,860.94,421
2009,857.23,421
2009,862.48,421
2009,867.0,421
2009,873.04,421
2009,1279.69,421
2009,1396.23,421
2009,1392.0,421
2009,1399.25,421
2009,1065.0,421
2009,859.5,421
2009,2764.13,224
2009,2737.0,224
2009,2754.0,224
2009,2720.0,224
2009,2720.0,224
2009,2737.0,224
2009,2732.48,224
2009,1568.44,0
2009,989.48,224
2009,720.0,0
1927,8.44,450
1927,9.52,450
2011,167.75,0
2014,20317.5,0
2008,659.16,0
2008,688.78,0
2008,666.56,0
2008,681.38,0
2009,978.25,0
2013,864.0,0
2013,864.0,0
2013,864.0,0
2007,88.59,190
2007,89.58,190
2007,89.58,190
2007,86.63,190
2007,100.94,190
2007,102.81,190
2007,99.88,190
2007,100.94,190
2007,8.97,0
2014,811.11,0
2014,811.11,0
2014,811.11,0
2014,811.11,0
2014,811.11,0
2014,811.11,0
2009,30.0,0
2014,1120.0,0
1956,12.25,336
1956,6.25,336
1956,2.0,336
1956,1.56,336
1981,289.0,0
1981,1149.75,0
1923,226.19,0
2007,884.81,0
1925,710.5,0
1995,31.25,0
1929,352.0,0
1929,750.0,0
2000,11550.0,0
1942,600.0,0
1942,272.25,0
2000,2065.64,0
1989,279.66,0
1953,1988.75,0
1954,1182.56,0
2015,309.68,0
1955,2132.0,0
1955,241.26,0
1956,1485.0,0
1958,319.5,0
1958,3403.0,0
1969,992.0,0
1959,1215.0,0
1960,639.63,0
1960,626.72,0
1960,2437.89,0
2015,101.95,0
2014,33.0,0
2015,185.06,0
2002,25.0,0
2002,25.0,0
1985,45.0,0
1994,557.81,0
1996,283.5,0
1997,304.22,0
1968,294.0,0
1968,279.13,0
2001,130.5,0
1986,62.51,0
2001,154.0,0
1986,49.0,0
1986,101.88,0
1962,450.0,0
1963,41.97,0
1965,594.5,0
1965,656.91,0
1997,49.59,0
1967,471.88,0
1967,120.54,0
1970,16.34,143
1970,13.67,143
1970,16.41,143
1970,16.74,143
1970,13.67,143
1970,1000.0,143
1970,31.53,143
1970,1.56,143
1970,6.21,143
1970,0.28,143
1970,0.25,143
1970,4.6,143
1970,13.59,143
1970,13.95,143
1970,0.28,143
1970,13.59,143
1970,52.06,143
1970,4.6,143
1970,9.75,143
1970,1.76,143
1970,198.0,143
1970,1.35,143
1970,81.0,143
1970,0.7,143
1970,0.22,143
1970,6.75,143
1970,3.28,143
1970,0.75,143
1970,0.88,143
1970,16.02,143
1970,18.52,143
1970,0.22,143
1970,2.19,143
1970,2.95,143
1970,4.19,143
1970,0.55,143
1970,0.46,143
1970,0.22,143
1970,0.7,143
1970,4.19,143
1970,0.84,143
1970,2.95,143
1970,16.86,143
1970,0.41,143
1970,192.94,0
1970,5544.0,0
1971,1403.0,0
1971,1403.0,0
1971,98.52,0
1973,1863.75,0
1978,1144.0,0
1978,1144.0,0
1978,118.34,0
1978,1832.91,0
1978,558.25,0
1976,287.0,0
1942,1970.06,0
1994,5433.75,0
2004,252.0,0
2004,252.0,0
2003,370.56,0
1984,158400.0,0
1982,5544.0,0
2002,2752.0,0
1984,10656.0,0
1977,256.5,0
1978,1067.81,0
1981,111.63,0
1989,522.0,2462
1997,147.0,0
1997,147.0,0
1980,290.0,0
1989,884.5,2462
1989,121.5,2462
1989,153.75,2462
1989,69.47,2462
1983,140.12,172
1983,140.78,172
1984,142.88,109
1989,1352.5,2462
1989,732.25,2462
1969,435.0,0
1989,29.25,2462
1989,97.22,2462
1989,89.5,2462
1989,97.75,2462
1989,97.75,2462
1958,386.75,0
1989,656.75,2462
1989,897.69,2462
1957,842.69,0
1989,26.72,2462
1957,165.63,0
1977,210.94,0
1955,631.13,0
1989,56.25,2462
1989,56.25,2462
1989,130.63,2462
1989,1164.13,2462
1989,73.63,2462
1984,172800.0,0
1982,131.33,0
1989,1269.0,2462
2002,1474.0,0
1989,74.81,2462
1989,1244.25,2462
1989,603.75,2462
1989,443.47,2462
1989,917.81,2462
1989,907.5,2462
1989,825.5,2462
1989,1237.5,2462
1989,980.69,2462
1989,68.25,2462
1983,116.61,102
1989,97.97,2462
1989,53.25,2462
1983,138.77,126
1989,78.75,2462
1989,56.25,2462
1989,56.25,2462
1989,56.25,2462
1989,56.25,2462
1989,7.31,2462
1989,67.89,2462
1989,86.63,2462
1989,87.66,2462
1989,84.0,2462
1989,86.89,2462
1989,1735.5,2462
1997,221.06,0
1989,278.44,2462
1989,364.5,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,64.45,2462
1989,250.03,2462
1989,250.03,2462
1989,36.75,2462
1989,140.16,2462
1989,33.54,2462
1989,208.61,2462
1989,121.5,2462
1989,25.0,2462
1989,25.0,2462
1989,25.0,2462
1989,121.5,2462
1989,121.5,2462
1989,121.5,2462
1989,25.0,2462
1989,25.0,2462
1989,25.0,2462
1989,25.0,2462
1989,25.0,2462
1989,143.19,2462
1989,457.5,2462
1989,280.0,2462
1989,390.23,2462
1989,453.38,2462
1989,127.19,2462
1989,438.75,2462
1989,61.88,2462
1989,511.88,2462
1989,513.95,2462
1989,315.0,2462
1975,52.5,0
1989,79.28,2462
1989,335.5,2462
1989,550.0,2462
1989,1698.5,2462
